Psychiatric care beds in hospitals;;;;;;;;;;;;
Per 100 000 inhabitants;;;;;;;;;;;;
geo\time;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
EU (28 countries);77.45;76.62;75.31;74.61;73.8;72.78;72.69;72.14;72.04;71.85;71.22;:
Euro area (19 countries);:;:;:;:;:;:;:;:;:;:;:;:
Belgium;152.58;151.25;150.98;149.74;148.7;147.05;144.69;142.89;140.69;141.16;140.44;137.26
Bulgaria;67.77;66.89;67.08;67.16;68.28;65.47;62.79;63.85;65.96;66.76;68.67;56.22
Czechia;110.37;108.89;106.89;104.91;103.46;101.86;100.82;98.54;96.98;96.64;96.78;97.75
Denmark;65.34;62.94;61.36;58.47;57.78;57.03;53.26;:;53.79;:;:;39.72
Germany;107.05;108.47;110.1;112.7;114.75;117.91;120.69;122.88;125.13;127.08;127.31;127.54
Estonia;53.71;55.3;55.3;55.49;53.8;53.13;53.51;53.83;55.61;55.5;55.5;53.73
Ireland;95.55;91.47;85.4;79.33;39.47;38.68;35.49;35.08;35.01;35.52;34.83;34.28
Greece;86.7;87.33;86.16;82.18;79.55;74.04;72.08;76.18;69.78;71.96;73.11;70.75
Spain;45.77;45.85;41.36;41.11;40.94;40.06;38.38;35.88;36.31;35.68;35.89;35.52
France;92.99;91.44;90.31;89.38;88.57;88.31;87.4;88.08;88.22;87.39;86.31;85.75
Croatia;94.43;93.04;96.31;94.96;94.62;97.04;94.28;100.63;97.99;98.79;94.08;92.42
Italy;13.24;13.02;11.56;11.01;10.6;10.07;10.02;9.54;9.52;9.28;9.34;:
Cyprus;30.62;26.66;26.28;25.97;25.49;22.79;21.39;22.92;21.58;21.82;21.94;21.84
Latvia;155.05;154.33;154.21;154.72;134.29;123.76;129.09;128.54;125.41;126.04;126.22;127.58
Lithuania;103.39;102.35;102.29;102.83;102.08;103.52;111.15;110.65;109.82;107.9;102.79;100.69
Luxembourg;97.17;91.4;90;88.41;89.6;87.98;87.59;86.26;83.19;81.25;79.35;77.47
Hungary;96.68;95.5;93.45;87.76;89.76;89.5;89.58;89.55;89.75;89.3;88.62;89.51
Malta;169.87;168.8;169.42;168.47;155.56;145.03;143.04;141.14;145.03;133.38;131.75;124.96
Netherlands;140.67;136.73;134.72;137.36;139.26;:;:;126.21;126.63;:;:;96.88
Austria;59.71;60.55;64.48;61.71;61.52;62.89;62.6;62.29;62.26;61.62;61.32;60.56
Poland;67.39;67.98;66.58;64.82;64.11;62.84;63;63.91;64.02;65.16;65.32;65.93
Portugal;70.78;69.15;68.3;66.82;65.35;64.27;64.06;62.49;64.71;62.71;63.56;64.14
Romania;76.25;78.54;78.13;78.15;79.85;78.43;77.87;83.46;84.17;84.3;84.71;84.84
Slovenia;73.58;71.26;68.1;69.11;65.65;65.07;65.47;66.6;66.26;66.2;67.02;66.15
Slovakia;83.57;83.73;82.45;80.99;80.02;79.8;76.84;77.65;81.59;81.77;80.81;81.3
Finland;93.35;92.25;88.4;85.05;80.45;75.25;71.02;68.8;63.54;60.72;62.2;58.05
Sweden;48.14;49.3;48.83;48.04;47.85;47.53;46.95;46.05;45.77;45.06;44.3;43.24
United Kingdom;73.95;69.06;65.78;63.47;60.6;54.43;52.33;49.65;47.84;46.09;41.52;39.73
Iceland;:;:;59.38;61.12;59.65;48.11;47.65;47.39;46.33;44.29;43.83;43.23
Liechtenstein;0;0;0;0;0;0;0;0;0;0;0;0
Norway;155.04;152.85;147.82;140.01;137.41;133.52;129.62;121.05;115.78;116.17;113.67;111.17
Switzerland;105.78;100.99;101.89;100.36;98.3;96.67;92.8;92.81;93.39;90.75;91.88;90.43
Montenegro;:;:;:;:;:;:;:;:;50.06;49.37;49.34;49.33
Former Yugoslav Republic of Macedonia, the;60.63;58.47;57.16;57.06;56.71;55.33;55.77;56.33;54.65;49;50.38;50.33
Albania;25.3;25.23;23;:;:;:;:;:;:;:;:;:
Serbia;:;76.12;74.51;72.84;73.76;76.21;76.47;74.7;75.36;75.51;75.71;75.97
Turkey;5.61;6.25;5;6.13;6.58;6.41;6.12;5.84;5.77;5.52;5.41;5.49
:=not available b=break in time series e=estimated ;;;;;;;;;;;;
;;;;;;;;;;;;
Source of Data:;Eurostat;;;;;;;;;;;
Last update:;24.10.2018;;;;;;;;;;;
Date of extraction:;10 Nov 2018 18:49:08 CET;;;;;;;;;;;
Hyperlink to the table:;https://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=tps00047;;;;;;;;;;;
General Disclaimer of the EC website:;https://ec.europa.eu/info/legal-notice_en;;;;;;;;;;;
Code:;tps00047;;;;;;;;;;;
