Years;Total Growth;Natural population change ;Migratory growth
2016;47,944;5,685;42,259
2015;23,578;5,584;17,994
2014;-9,14;10,27;-19,41
2013;-45,074;10,784;-55,858
2012;-36,43;14,461;-50,891
2011;13,545;21,275;-7,73
2010;39,809;24,946;14,863
2009;45,439;25,205;20,234
2008;118,292;29,539;88,753
2007;151,579;24,364;127,215
2006;151,797;24,821;126,976
2005;148,245;18,418;129,827
2004;153,395;19,591;133,804
2003;134,557;12,904;121,653
2002;160,574;11,037;149,537
2001;144,861;8,93;135,931
2000;78,758;8,147;70,611
